name,from,address,square_metre,price,type,rooms_amount,link
Sentral ny renovert 1-roms leilighet,Privat,"Åsteveitskogen, Tertnes",43,10000,Hybel,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310393748
MØHLENPRIS - Fin 5-roms leilighet på Møhlenpris. Sentral beliggenhet og fine overflater. Internett inkludert.,Utleiemegleren Bergen,"Professor Hansteens gate 83, Bergen",84,26000,Leilighet,4 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310439400
Kjellerleilighet sentralt i Åsane til leie.,Privat,"ÅSLIA 59, Ulset",50,7000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310430119
"Leilighet med panorama sjøutsikt, 2 min gange fra busstopp og Rema 1000",Privat,"Slettevikvegen 8, Morvik",83,20000,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=308184798
"Enebolig, 4-5 soverom til leie sentralt på  Minde, Nær buss/bybane tunell Fyllingdsdalen",Privat,"GRØNNESTØLSVEIEN 20, Bergen",150,25000,Enebolig,5 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310408155
3D Visning - Jentekollektiv og delte kollektiv Bergen Sentrum,Privat,"KONG OSCARS GATE 79, Bergen",15,5250,Rom i bofellesskap,5 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=266973316
3 stk nyoppussede leiligheter til leie i Sverre Hjetlands vei 1. Ledig 01.08. BILDER OPPDATERT!,Privat,"SVERRE HJETLANDS VEI 1, Laksevåg",35,10500,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310421049
Flotte rom i nyoppusset leilighet til leie i Haukelandsveien 39. Ledig fom 01.08.,Privat,"HAUKELANDSVEIEN 39, Bergen",12,4990,Rom i bofellesskap,7 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=301647363
Lys og fin 3-roms i Solheimsviken med felles takterrasse,Privat,"BØHMERGATEN 18, Bergen",70,16000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=94576630
"Fine leiligheter i byens beste gate | 3/4 soverom | Gangavstand til ""alt"" | Ledig fra 01.08",Privat,"STRANDGATEN 90, Bergen",90,18990,Leilighet,4 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310408604
Leilighet i Bergen Vest leies ut,Privat,"LODDEFJORDVEIEN 24, Loddefjord",47,11000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310396786
Landlig på Milde,Privat,"Skipanesvegen 280, Hjellestad",50,10000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=290533348
Ledige rom i Kollektiv/Leilighet rett ved UIB,Privat,"ALLÉGATEN 1, Bergen",60,5000,Rom i bofellesskap,4 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=223149254
"NYHET! 3 store rom, sentralt i Sandviken",Privat,"SANDVIKSVEIEN 34, Bergen",10,5500,Rom i bofellesskap,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=181760007
Lys og koselig studioleilighet til leie ved Møllendal,Privat,"Møllendalsbakken 2A, Bergen",24,11500,Hybel,,https://www.finn.no/realestate/lettings/ad.html?finnkode=307855828
Ledige rom i moderne kollektiver!,Privat,"Zinken Hopps gate 15, Bergen",18,5000,Rom i bofellesskap,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=303451802
"Sentral og møblert 3 roms leilighet leies ut fra 15 august! God beliggenhet, perfekt for studenter!",Privat,"Løbergsveien, Bergen",45,14000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310383664
Nyoppusset leilighet. Kun 5min unna BI.,Privat,"Fjøsangerveien 97E, Bergen",53,15000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310387495
Leilighet Bergen Vest ledig fra 10.08.2023,Privat,"Bjørndalsbrotet243, Bjørndalstræ",55,14000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310381546
