name,from,address,square_metre,price,type,rooms_amount,link
Kollektiv / Topp standard - Bergen Sentrum,Privat,"HANS TANKS GATE 16, Bergen",8,5200,Rom i bofellesskap,7,https://www.finn.no/realestate/lettings/ad.html?finnkode=265947282
3D-visning! Rom ledig fra 01.08 i bofellesskap i Bergen sentrum! Like ved Bystasjonen og Togstasjonen.,Privat,"Kong Oscars gate 79, Bergen",11,5290,Rom i bofellesskap,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=225231398
"Sentralt beliggende,  fullt møblert og nyoppusset leilighet",Privat,"HANS TANKS GATE 4, Bergen",43,15500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311314187
Meget sentral studioleilighet til leie i Bergen Sentrum,Privat,"JOHANNES BRUNS GATE 7, Bergen",13,8000,Leilighet,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=311321236
"Stor leilighet i hjertet av Bergen, internett og strøm er inkludert i husleien",Privat,"ERIK PONTOPPIDANS GATE 9, Bergen",74,16500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=311209285
SENTRALT // ALT INKLUDERT,Hybel.no,"Lyder Sagens Gate 21, Bergen",11,6000,Rom i bofellesskap,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=311272799
Stor to-roms hybel i Kalfarlien 2,Privat,"KALFARLIEN 2, Bergen",55,10500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311264600
Koselig rom i voksent bofellesskap i Kalfarlien,Privat,"Kalfarlien 2, Bergen",22,7500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311262676
GARASJEPLASS TIL LEIE eller SALG- MITT I SENTRUM - EL-UTTAK TIL EL-BIL.  LANGTIDSLEIE.,Privat,"CAPPES VEI 12 A, Bergen",12,0,Garasje/Parkering,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=107526683
ALT INKL,Hybel.no,"Strømgaten 54, Bergen",17,8500,Rom i bofellesskap,6,https://www.finn.no/realestate/lettings/ad.html?finnkode=266959415
2 roms leilighet midt i sentrum,Privat,"Vestre Torggate 4, Bergen",45,11000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=154122384
Perfekt beliggenhet for studenter! Kollektiv over to plan - Fiber Inkl. - Ledig fra 01.08 - 3D-visning,Privat,"NYGÅRDSGATEN 35, Bergen",10,4990,Rom i bofellesskap,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=311178415
3D-visning! Fibernett inkludert! Ledig fra 01.08. Sentral beliggenhet i sentrum.,Privat,"KONG OSCARS GATE 79, Bergen",10,4990,Rom i bofellesskap,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=224773362
Fantastisk leilighet med 6 soverom til leie fra 01.08. |Fiber inkludert|Delvis møblert|3D/fysisk visning,Privat,"Nygårdsgaten 66, Bergen",10,5500,Rom i bofellesskap,6,https://www.finn.no/realestate/lettings/ad.html?finnkode=311157279
"Lekker, møblert 3-roms leilighet i Kalfarveien med kort vei til alt. Gjennomgående god kvalitet.",Privat,"Kalfarveien 20D, Bergen",56,24500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=311129827
Nyoppusset leilighet med fransk balkong - møblert,Hybel.no,"Nygårdsgaten 94, Bergen",55,16500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=301946937
"Lekker, møblert 3-roms leilighet Nygårdshøyden m/kort vei til alt. Gjennomgående gode kvaliteter.",Privat,"Fredrik Meltzers Gate 20, Bergen",65,25000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=311062314
Toppleilighet med balkong i Fjellsiden,Privat,"Leitet 10, Bergen",90,25000,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=79501753
BERGEN SENTRUM - Fin 2-roms leilighet med fine overflater og sentral beliggenhet. INTERNETT/TV INKL.,Utleiemegleren Bergen,"Lars Hilles gate 11, Bergen",34,14900,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311050945
Rom i sentral og nyrenovert leilighet i Bergen,Privat,"Nygårdsgaten 45, Bergen",65,7240,Rom i bofellesskap,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=311035426
FINT BOFELLESSKAP  - 3D-visning - 2 Bad - I sentrum - Ledig fra 01.08,Privat,"KONG OSCARS GATE 79, Bergen",10,5290,Rom i bofellesskap,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=218375192
Nygårdshøyden/sentrum | 3D-visning| Fibernett inkl. | Like ved UIB | Ledig fra 01.08,Privat,"HANS HOLMBOES GATE 17, Bergen",8,4790,Rom i bofellesskap,6,https://www.finn.no/realestate/lettings/ad.html?finnkode=217333395
Svert sentral møblert leilighet på Nygårdshaugen med 3 soverom,Privat,"Hans Holmboesgate 25, Bergen",45,18000,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=265032708
Flere soverom ledige i kollektiv MIDT i Bergen sentrum!,Privat,"ØSTRE SKOSTREDET 12, Bergen",10,5200,Rom i bofellesskap,7,https://www.finn.no/realestate/lettings/ad.html?finnkode=306576654
Koselig 5-roms (4 soverom) leilighet ledig MIDT i Bergen sentrum! Se 3D-visning via link i annonsen.,Privat,"MARKEN 8, Bergen",80,21000,Leilighet,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=310790838
Koselig 5-roms (4 soverom) leilighet ledig MIDT i Bergen sentrum! Se 3D-visning via link i annonsen.,Privat,"MARKEN 20, Bergen",90,21000,Leilighet,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=306581020
"Flere rom ledige i moderne kollektiv midt i Bergen sentrum, 2 minutter unna UiB! Se 3D-visningen via link i annonsen!",Privat,"HANS HOLMBOES GATE 15 A, Bergen",10,5650,Rom i bofellesskap,9,https://www.finn.no/realestate/lettings/ad.html?finnkode=306473378
Ny og møblert i sentrum - Ingen husleie 15.06 til 15.08,Privat,"BORGERMESTER PLATOUS GATE 7, Bergen",45,15500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=270140876
Møblert leilighet fra 2022 i sentrum - Ingen husleie om sommeren,Privat,"BORGERMESTER PLATOUS GATE 7, Bergen",50,17500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=267054799
Møblert toppleilighet i sentrum - ingen husleie fra 15.06 til 13.08 hver år,Hybel.no,"Nygårdsgaten 94, Bergen",38,16500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310787826
1-ROMS - FIN LEILIGHET -  MIDT I SENTRUM AV BERGEN,Utleiemegleren Bergen,"Vaskerelven 33, Bergen",0,9800,Leilighet,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=310787537
SENTRUM - 4 SOVEROM - MIDT I BERGEN,Utleiemegleren Bergen,"Skivebakken 8, Bergen",0,24000,Leilighet,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=310773541
Super flott kollektiv midt i Bergen Sentrum - internett via fiber inkludert,Privat,"FOSSWINCKELS GATE 11, Bergen",15,6700,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310726458
Lys 2-roms sentralt beliggende på Nygårdshøyden,Privat,"Allégaten 24, Bergen",32,14000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=222550138
1 ledig rom i student bofelleskap,Privat,"Skostredet  18, Bergen",12,5600,Rom i bofellesskap,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=301908361
Pen 2-roms leilighet på Nygårdshøyden,Privat,"Fosswinckels gate 57, Bergen",40,15000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=106350472
JENTEKOLLEKTIV | 6 av 7 rom ledig | 2 moderne og fine bad | Fibernett inkludert i leien.,Privat,"KONG OSCARS GATE 79, Bergen",12,4990,Rom i bofellesskap,6,https://www.finn.no/realestate/lettings/ad.html?finnkode=302582961
