name,from,address,square_metre,price,type,rooms_amount,link
1 stort rom i bokollektiv,Privat,"SANDAKERVEIEN 58 C, Oslo",15,9000,Rom i bofellesskap,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=266739074
Tiltalende 2 - roms leilighet til leie midt på Grønlands torget,Privat,"SMALGANGEN 23, Oslo",64,17000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=91387017
Ulven sentral 2-roms leilighet med stor solrik terrasse,Privat,"Ulvenveien 123E, Oslo",69,13950,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=304527383
Parkeringsplass på Skøyen/Sjølyst,Privat,"Messepromenaden 4, Oslo",15,2500,Garasje/Parkering,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=266076642
Majorstuen - nyoppusset rom til leie,Privat,"Thaulows vei 2H, Oslo",55,9500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310505874
SKØYEN: Moderne og innholdsrik leilighet -  Nyoppusset i 2020 - Parkeringsplass og utgang til terrasse og hage!,Utleiemegleren Frogner,"Prinsessealléen 2, Oslo",70,22500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310592073
Lys og pen 3-roms hjørne-/topp leilighet,Privat,"ÅSLANDHELLINGA 3, Oslo",56,14000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=203382398
Hybel (studio) ca 28 m2,Privat,Oslo,28,11500,Hybel,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=280397766
Sentral og solrik leilighet uten gjenboere med heis og garasje,Privat,"Hasleveien 32, Oslo",79,27500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310249702
3 roms leilighet til leie,Privat,"Gmale Enebakk vei 121, Oslo",60,17500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310576980
MAJORSTUEN: Godt lydisolerte rom i bofellesskap,Privat,Oslo,10,7200,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=264788948
"I hjerte av Majorstua - 7 etg m/balkong, 2-roms, vestvendt, unike lysforhold, stille og skjermet.",Privat,"Ole Vigs gate 16, Oslo",42,19500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=228555355
KORTTIDSLEIE SEPT-NOV - Leilighet med hage og parkering Skullerud,Privat,Oslo,70,20000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310283622
Fullt møblet utsikt og lys 3-roms 5 minutters gange til T-bane,Privat,"Bølerskrenten 19, Oslo",70,20500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=301299853
Vika - Ledig Rom i Bofellesskap,Privat,"Huitfeldts gate 31, 0253, Oslo",65,10250,Rom i bofellesskap,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=310549668
Nyrenoverte lekre 1 roms leiligheter for studenter ved Bislett/St.Hanshaugen,A Madsstuen AS,"Dalsbergstien 7, Oslo",23,12000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310563856
Sentral 4-roms toppetasje leilighet til leie! Med 10kvm panorama balkong,Privat,"SMALGANGEN 25, Oslo",90,35000,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=310426586
"Fantastisk leilighet i hjertet av Oslo med 2 balkonger, kun 5.600 kroner i husleie!",Privat,"SMALGANGEN 23, Oslo",100,5600,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310555443
Short term rental at Bislett,Privat,Oslo,88,40000,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=310545838
Ny  2 roms sokkelleilighet. Toppstandard. -innflytningsklar 1. oktober 2023,Privat,"Holmenkollveien 88, Oslo",50,18000,Hybel,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=144194176
TJUVHOLMEN | Praktisk og eksklusiv 2-roms på Tjuvholmen,Privat,"Salmakersvenn Marius Jantzens Plass 2, Oslo",46,22000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=265944294
Enebolig Røa til leie,Privat,"HARALD LØVENSKIOLDS VEI 20, Oslo",220,35000,Enebolig,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=310478418
Garasjeplass på Skøyen / Frogner,Privat,"bygdøy alle 109, Oslo",18,2000,Garasje/Parkering,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=306411205
"Rom ledig i leilighet på Skillebekk, Frogner",Privat,"NIELS JUELS GATE 5, Oslo",15,8200,Rom i bofellesskap,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=104935906
"Kalbakken - Moderne bofellesskap med utsikt - Internett, V.vann og fyring inkl",Privat,"Gangstuveien 12, Oslo",70,8500,Rom i bofellesskap,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=301605403
Nyere hybelleilighet i Ullevål Hageby med god standard! Internett inkl.,Privat,"TYRIHANSVEIEN 7, Oslo",40,10000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=62504376
"Frogner: Fredelig og  usjenert 2-roms  med balkong og utsikt.   
- inkl. strøm, oppvarming, TV og internett - korttidsleie",Husleie.No AS,"kruses gate 7B, Oslo",43,20000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310468048
Ila/Sagene -  Lys og fin 2-roms. Sentral og attraktiv beliggenhet. Ledig omgående!,Krogsveen Boligutleie,"Uelands gate 61B, Oslo",50,15500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310405659
SKØYEN/SMEDSTAD - Lys og skjermet 2-roms med balkong og parkeringsplass. Ledig omgående.,Krogsveen Boligutleie,"Hoffsveien 45B, Oslo",58,15900,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310403015
"Pen enebolig med 4 soverom,  Oslo vest",Privat,"ULLERNFARET 1 A, Oslo",120,32000,Leilighet,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=310521133
Bøler - Romslig 3 roms med en attraktiv og barnevennlig beliggenhet. Varmtvann og fyring inkludert. Kort vei til Østmark,Privat,"BØLERLIA 16, Oslo",69,25000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310516458
Rom i bofellesskap inkl internett og strøm,Privat,"Kløfterhagen 27A, Oslo",35,6500,Rom i bofellesskap,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310515064
"2 roms hybel m/ kjøkken, separat bad, inkl. strøm og internett",Privat,"BEKKENSTENVEIEN 50 E, Oslo",25,10000,Hybel,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=72940120
"Pen, møblert 3 roms leilighet på Torshov",Privat,"Sigurd lies gate 28, Oslo",59,24000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=305968506
Vakker leilighet med god beliggenhet - korttidsleie (short term),Privat,Oslo,118,35000,Leilighet,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=310200408
Lambertseter-Moderne 2-romsleilighet,Privat,"Radarvien 82, Oslo",40,18300,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=254968117
"Ny hybel sentralt på Løren m/takterasse og ""all inclusive""",Privat,"Børsteveien 5, Oslo",22,14000,Hybel,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=309492822
